Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
11,2010-07-15,184.5,Sisteron,Bourg-lès-Valence,Flat stage,Mark Cavendish,GBR
12,2010-07-16,210.5,Bourg-de-Péage,Mende,Medium mountain stage,Joaquim Rodríguez,ESP
13,2010-07-17,196,Rodez,Revel,Flat stage,Alexander Vinokourov,KAZ
14,2010-07-18,184.5,Revel,Ax 3 Domaines,Mountain stage,Christophe Riblon,FRA
15,2010-07-19,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage,Thomas Voeckler,FRA
16,2010-07-20,199.5,Bagnères-de-Luchon,Pau,Mountain stage,Pierrick Fédrigo,FRA
17,2010-07-22,174,Pau,Col du Tourmalet,Mountain stage,Andy Schleck,LUX
18,2010-07-23,198,Salies-de-Béarn,Bordeaux,Flat stage,Mark Cavendish,GBR
19,2010-07-24,52,Bordeaux,Pauillac,Individual time trial,Fabian Cancellara,SUI
20,2010-07-25,102.5,Longjumeau,Paris,Flat stage,Mark Cavendish,GBR
1,2009-07-04,15.5,Monaco,Monaco,Individual time trial,Fabian Cancellara,SUI
2,2009-07-05,187,Monaco,Brignoles,Flat stage,Mark Cavendish,GBR
3,2009-07-06,196.5,Marseille,La Grande-Motte,Flat stage,Mark Cavendish,GBR
4,2009-07-07,39,Montpellier,Montpellier,Team time trial,Astana,
5,2009-07-08,196.5,Cap d'Agde,Perpignan,Flat stage,Thomas Voeckler,FRA
6,2009-07-09,181.5,Girona,Barcelona,Flat stage,Thor Hushovd,NOR
7,2009-07-10,224,Barcelona,Andorra-Arcalis,Mountain stage,Brice Feillu,FRA
8,2009-07-11,176.5,Andorra la Vella,Saint-Girons,Mountain stage,Luis León Sánchez,ESP
9,2009-07-12,160.5,Saint-Gaudens,Tarbes,Mountain stage,Pierrick Fédrigo,FRA
10,2009-07-14,194.5,Limoges,Issoudun,Flat stage,Mark Cavendish,GBR
11,2009-07-15,192,Vatan,Saint-Fargeau,Flat stage,Mark Cavendish,GBR
12,2009-07-16,211.5,Tonnerre,Vittel,Flat stage,Nicki Sørensen,DEN
13,2009-07-17,200,Vittel,Colmar,Medium mountain stage,Heinrich Haussler,GER
14,2009-07-18,199,Colmar,Besançon,Flat stage,Sergei Ivanov,RUS
15,2009-07-19,207.5,Pontarlier,Verbier,Mountain Stage,Alberto Contador,ESP
16,2009-07-21,159,Martigny,Bourg-Saint-Maurice,Mountain Stage,Sandy Casar,FRA
17,2009-07-22,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain Stage,Fränk Schleck,LUX
18,2009-07-23,40.5,Annecy,Annecy,Individual time trial,Alberto Contador,ESP
19,2009-07-24,178,Bourgoin-Jallieu,Aubenas,Flat stage,Mark Cavendish,GBR
20,2009-07-25,167,Montélimar,Mont Ventoux,Mountain stage,Juan Manuel Gárate,ESP
21,2009-07-26,164,Montereau-Fault-Yonne,Paris,Flat stage,Mark Cavendish,GBR
